dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,temp_bin,hum_bin,wind_bin,is_weekend
2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,"(0.412, 0.51]","(0.7, 0.8]","(0.255, 0.34]",1
2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,"(0.412, 0.51]","(0.7, 0.8]","(0.255, 0.34]",1
2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,"(0.412, 0.51]","(0.7, 0.8]","(0.255, 0.34]",1
2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,"(0.412, 0.51]","(0.7, 0.8]","(0.255, 0.34]",1
2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,"(0.412, 0.51]","(0.8, 0.9]","(0.255, 0.34]",1
2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,"(0.412, 0.51]","(0.8, 0.9]","(0.255, 0.34]",1
2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,"(0.412, 0.51]","(0.8, 0.9]","(0.17, 0.255]",1
2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,"(0.412, 0.51]","(0.8, 0.9]","(0.17, 0.255]",1
2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,"(0.314, 0.412]","(0.8, 0.9]","(0.17, 0.255]",1
2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,"(0.314, 0.412]","(0.8, 0.9]","(0.17, 0.255]",1
2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,"(0.314, 0.412]","(0.9, 1.0]","(0.17, 0.255]",1
2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,"(0.412, 0.51]","(0.8, 0.9]","(0.255, 0.34]",1
2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,"(0.412, 0.51]","(0.8, 0.9]","(0.255, 0.34]",1
2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,"(0.412, 0.51]","(0.9, 1.0]","(0.17, 0.255]",1
2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,"(0.412, 0.51]","(0.9, 1.0]","(0.255, 0.34]",1
2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,"(0.412, 0.51]","(0.9, 1.0]","(0.17, 0.255]",1
2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,"(0.412, 0.51]","(0.9, 1.0]","(0.17, 0.255]",1
2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,"(0.412, 0.51]","(0.7, 0.8]","(0.255, 0.34]",1
2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,"(0.314, 0.412]","(0.7, 0.8]","(0.17, 0.255]",1
2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,"(0.314, 0.412]","(0.7, 0.8]","(0.17, 0.255]",1
2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,"(0.314, 0.412]","(0.7, 0.8]","(0.17, 0.255]",1
2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,"(0.314, 0.412]","(0.8, 0.9]","(0.17, 0.255]",1
2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,"(0.314, 0.412]","(0.7, 0.8]","(0.17, 0.255]",1
2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,"(0.314, 0.412]","(0.6, 0.7]","(0.255, 0.34]",1
2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,"(0.314, 0.412]","(0.6, 0.7]","(0.0851, 0.17]",1
2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,"(0.314, 0.412]","(0.7, 0.8]","(0.17, 0.255]",1
2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,"(0.314, 0.412]","(0.8, 0.9]","(0.0851, 0.17]",1
2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,"(0.314, 0.412]","(0.7, 0.8]","(0.0851, 0.17]",1
2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,"(0.314, 0.412]","(0.5, 0.6]","(0.17, 0.255]",1
2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,"(0.314, 0.412]","(0.4, 0.5]","(0.255, 0.34]",1
2011-01-02,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,1,29,30,"(0.314, 0.412]","(0.4, 0.5]","(0.425, 0.51]",1
2011-01-02,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,5,17,22,"(0.216, 0.314]","(0.3, 0.4]","(0.34, 0.425]",1
2011-01-02,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,11,20,31,"(0.216, 0.314]","(0.4, 0.5]","(0.255, 0.34]",1
2011-01-02,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,0,9,9,"(0.216, 0.314]","(0.4, 0.5]","(0.255, 0.34]",1
2011-01-02,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,0,8,8,"(0.216, 0.314]","(0.4, 0.5]","(0.0851, 0.17]",1
2011-01-03,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,0,5,5,"(0.216, 0.314]","(0.4, 0.5]","(0.34, 0.425]",0
2011-01-03,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,0,2,2,"(0.118, 0.216]","(0.4, 0.5]","(0.34, 0.425]",0
2011-01-03,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,0,1,1,"(0.118, 0.216]","(0.4, 0.5]","(0.34, 0.425]",0
2011-01-03,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,0,3,3,"(0.118, 0.216]","(0.4, 0.5]","(0.255, 0.34]",0
2011-01-03,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,0,30,30,"(0.118, 0.216]","(0.4, 0.5]","(0.34, 0.425]",0
2011-01-03,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,1,63,64,"(0.118, 0.216]","(0.4, 0.5]","(0.17, 0.255]",0
2011-01-03,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,1,153,154,"(0.118, 0.216]","(0.4, 0.5]","(0.255, 0.34]",0
2011-01-03,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,7,81,88,"(0.118, 0.216]","(0.4, 0.5]","(0.34, 0.425]",0
2011-01-03,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,11,33,44,"(0.118, 0.216]","(0.4, 0.5]","(0.17, 0.255]",0
2011-01-03,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,10,41,51,"(0.118, 0.216]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-03,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,13,48,61,"(0.216, 0.314]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-03,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,8,53,61,"(0.216, 0.314]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-03,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,11,66,77,"(0.216, 0.314]","(0.2, 0.3]","(0.255, 0.34]",0
2011-01-03,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,14,58,72,"(0.216, 0.314]","(0.2, 0.3]","(0.17, 0.255]",0
2011-01-03,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,9,67,76,"(0.216, 0.314]","(0.2, 0.3]","(0.17, 0.255]",0
2011-01-03,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,11,146,157,"(0.216, 0.314]","(0.2, 0.3]","(0.17, 0.255]",0
2011-01-03,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,9,148,157,"(0.216, 0.314]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-03,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,8,102,110,"(0.118, 0.216]","(0.4, 0.5]","(-0.000851, 0.0851]",0
2011-01-03,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,3,49,52,"(0.118, 0.216]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-03,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,3,49,52,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-03,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,0,20,20,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-03,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,1,11,12,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-04,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,0,5,5,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-04,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,0,2,2,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-04,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,0,1,1,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-04,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,0,2,2,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-04,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,0,4,4,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-04,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,0,36,36,"(0.118, 0.216]","(0.7, 0.8]","(0.0851, 0.17]",0
2011-01-04,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,2,92,94,"(0.118, 0.216]","(0.7, 0.8]","(0.0851, 0.17]",0
2011-01-04,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,2,177,179,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-04,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,2,98,100,"(0.118, 0.216]","(0.6, 0.7]","(0.17, 0.255]",0
2011-01-04,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,5,37,42,"(0.118, 0.216]","(0.6, 0.7]","(0.255, 0.34]",0
2011-01-04,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,7,50,57,"(0.216, 0.314]","(0.5, 0.6]","(0.255, 0.34]",0
2011-01-04,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,12,66,78,"(0.216, 0.314]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-04,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,18,79,97,"(0.216, 0.314]","(0.5, 0.6]","(0.17, 0.255]",0
2011-01-04,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,9,54,63,"(0.216, 0.314]","(0.5, 0.6]","(0.17, 0.255]",0
2011-01-04,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,17,48,65,"(0.216, 0.314]","(0.5, 0.6]","(0.17, 0.255]",0
2011-01-04,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,15,68,83,"(0.216, 0.314]","(0.4, 0.5]","(0.17, 0.255]",0
2011-01-04,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,10,202,212,"(0.216, 0.314]","(0.4, 0.5]","(0.17, 0.255]",0
2011-01-04,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,3,179,182,"(0.216, 0.314]","(0.4, 0.5]","(0.17, 0.255]",0
2011-01-04,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,2,110,112,"(0.216, 0.314]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-04,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,1,53,54,"(0.216, 0.314]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-04,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,0,48,48,"(0.216, 0.314]","(0.6, 0.7]","(-0.000851, 0.0851]",0
2011-01-04,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,1,34,35,"(0.216, 0.314]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-04,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,2,9,11,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-05,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,0,6,6,"(0.118, 0.216]","(0.6, 0.7]","(-0.000851, 0.0851]",0
2011-01-05,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,0,6,6,"(0.118, 0.216]","(0.7, 0.8]","(0.0851, 0.17]",0
2011-01-05,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,0,2,2,"(0.118, 0.216]","(0.7, 0.8]","(0.0851, 0.17]",0
2011-01-05,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,0,2,2,"(0.216, 0.314]","(0.4, 0.5]","(0.17, 0.255]",0
2011-01-05,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,0,3,3,"(0.216, 0.314]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-05,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,0,33,33,"(0.118, 0.216]","(0.4, 0.5]","(0.17, 0.255]",0
2011-01-05,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,1,87,88,"(0.118, 0.216]","(0.4, 0.5]","(0.17, 0.255]",0
2011-01-05,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,3,192,195,"(0.118, 0.216]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-05,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,6,109,115,"(0.216, 0.314]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-05,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,4,53,57,"(0.216, 0.314]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-05,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,12,34,46,"(0.216, 0.314]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-05,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,5,74,79,"(0.216, 0.314]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-05,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,6,65,71,"(0.216, 0.314]","(0.2, 0.3]","(0.255, 0.34]",0
2011-01-05,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,10,52,62,"(0.216, 0.314]","(0.2, 0.3]","(0.17, 0.255]",0
2011-01-05,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,7,55,62,"(0.216, 0.314]","(0.2, 0.3]","(0.17, 0.255]",0
2011-01-05,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,4,85,89,"(0.216, 0.314]","(0.2, 0.3]","(0.0851, 0.17]",0
2011-01-05,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,4,186,190,"(0.216, 0.314]","(0.3, 0.4]","(0.17, 0.255]",0
2011-01-05,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,3,166,169,"(0.216, 0.314]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-05,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,5,127,132,"(0.216, 0.314]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-05,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,7,82,89,"(0.216, 0.314]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-05,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,3,40,43,"(0.118, 0.216]","(0.5, 0.6]","(0.17, 0.255]",0
2011-01-05,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,1,41,42,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-05,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,1,18,19,"(0.118, 0.216]","(0.4, 0.5]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,0,11,11,"(0.118, 0.216]","(0.5, 0.6]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,0,4,4,"(0.118, 0.216]","(0.6, 0.7]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,0,2,2,"(0.118, 0.216]","(0.6, 0.7]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,0,1,1,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-06,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,0,4,4,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-06,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,0,36,36,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-06,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,0,95,95,"(0.118, 0.216]","(0.5, 0.6]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0.0,3,216,219,"(0.118, 0.216]","(0.5, 0.6]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0.0,6,116,122,"(0.118, 0.216]","(0.5, 0.6]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0.0,3,42,45,"(0.118, 0.216]","(0.4, 0.5]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,2,57,59,"(0.216, 0.314]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-06,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0.0,6,78,84,"(0.216, 0.314]","(0.3, 0.4]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,12,55,67,"(0.216, 0.314]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-06,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,11,59,70,"(0.216, 0.314]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-06,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0.0,8,54,62,"(0.216, 0.314]","(0.3, 0.4]","(-0.000851, 0.0851]",0
2011-01-06,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,12,74,86,"(0.216, 0.314]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-06,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,9,163,172,"(0.216, 0.314]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-06,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,5,158,163,"(0.216, 0.314]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-06,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,3,109,112,"(0.216, 0.314]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-06,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,3,66,69,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-06,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,0,48,48,"(0.216, 0.314]","(0.5, 0.6]","(0.17, 0.255]",0
2011-01-06,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,1,51,52,"(0.216, 0.314]","(0.5, 0.6]","(0.255, 0.34]",0
2011-01-06,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,4,19,23,"(0.118, 0.216]","(0.5, 0.6]","(0.17, 0.255]",0
2011-01-07,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,4,13,17,"(0.118, 0.216]","(0.6, 0.7]","(0.17, 0.255]",0
2011-01-07,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,2,5,7,"(0.118, 0.216]","(0.6, 0.7]","(0.17, 0.255]",0
2011-01-07,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,0,1,1,"(0.118, 0.216]","(0.6, 0.7]","(0.17, 0.255]",0
2011-01-07,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,0,1,1,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-07,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0.0,0,5,5,"(0.216, 0.314]","(0.5, 0.6]","(-0.000851, 0.0851]",0
2011-01-07,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0.0,8,26,34,"(0.118, 0.216]","(0.6, 0.7]","(-0.000851, 0.0851]",0
2011-01-07,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,8,76,84,"(0.118, 0.216]","(0.6, 0.7]","(0.0851, 0.17]",0
2011-01-07,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,20,190,210,"(0.118, 0.216]","(0.5, 0.6]","(0.17, 0.255]",0
2011-01-07,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,9,125,134,"(0.118, 0.216]","(0.4, 0.5]","(0.255, 0.34]",0
2011-01-07,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,16,47,63,"(0.216, 0.314]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-07,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,19,48,67,"(0.118, 0.216]","(0.3, 0.4]","(0.17, 0.255]",0
2011-01-07,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,9,50,59,"(0.118, 0.216]","(0.3, 0.4]","(0.17, 0.255]",0
2011-01-07,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,9,64,73,"(0.118, 0.216]","(0.3, 0.4]","(0.255, 0.34]",0
2011-01-07,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,7,43,50,"(0.118, 0.216]","(0.3, 0.4]","(0.17, 0.255]",0
2011-01-07,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,9,63,72,"(0.118, 0.216]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-07,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,5,82,87,"(0.118, 0.216]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-07,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0.0,9,178,187,"(0.118, 0.216]","(0.3, 0.4]","(-0.000851, 0.0851]",0
2011-01-07,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,7,116,123,"(0.118, 0.216]","(0.3, 0.4]","(0.0851, 0.17]",0
2011-01-07,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,3,92,95,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-07,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,1,50,51,"(0.118, 0.216]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-07,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,0,39,39,"(0.118, 0.216]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-07,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,2,34,36,"(0.118, 0.216]","(0.4, 0.5]","(0.0851, 0.17]",0
2011-01-07,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,1,14,15,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",0
2011-01-08,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,1,24,25,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",1
2011-01-08,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,1,15,16,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",1
2011-01-08,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0.0,3,13,16,"(0.118, 0.216]","(0.5, 0.6]","(-0.000851, 0.0851]",1
2011-01-08,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,0,7,7,"(0.118, 0.216]","(0.5, 0.6]","(0.0851, 0.17]",1
